title,genre,overview
Coming Home in the Dark (2021),"horror, thriller",A school teacher is forced to confront a brutal act from his past when a pair of ruthless drifters takes him and his family on a nightmare road-trip.
Coming to Court Soon (2025),drama,"Zhong Qinyang and assistant prosecutor Song Su pursue justice in cases involving minors. Along the way, Zhong Qinyang befriends high school student Li Songyan, and together they uncover the truth behind Zhong Qinyang 's parents' fatal car accident. As the real culprit is brought to justice, they begin a new chapter filled with hope and renewal."
Community (2009),comedy,A re-editing of the 11 television episodes of popular anime Higashi no Eden into a feature-length film.
Companion (2025),"horror, science fiction, thriller","During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them."
Conclave (2024),thriller,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church's most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall."
Concrete (2004),"crime, drama, horror","A high-school girl is kidnapped by gang lords and held captive for several months. Over this time, she repeatedly beaten, raped, and tortured.  On the 25th of November 1988, four youths abducted and held Furuta Junko in the house of one of the captors. Subjected to rape, torture, and humiliation, Junko had no hope of escape as the manhunt was stalled by the captors forcing her to tell her parents that she was ok. For 41 harrowing days, Junko had to endure unimaginable suffering at the hands of these four individuals. Finally, after losing in a game of mahjong solitaire, they beat her with an iron dumbbell and set on fire with lighter fluid. She died later that day from shock. In an attempt to hide their crime they buried her in cement and thus the name 'Concrete Encased High School Murder Case' was born as Japan had to confront the horrors of this crime. The perpetrators disposed the drum in a tract of reclaimed land in Koto, Tokyo."
Concrete Utopia (2023),"drama, thriller","The world has been reduced to rubble by a massive earthquake. While no one knows for sure how far the ruins stretch, or what the cause of the earthquake may be, in the heart of Seoul there is only one apartment building left standing. It is called Hwang Gung Apartments. As time passes, outsiders start coming in to Hwang Gung Apartments trying to escape the extreme cold. Before long, the apartment residents are unable to cope with the increasing numbers. Feeling a threat to their very survival, the residents enact a special measure."
"Confess, Fletch (2022)","comedy, mystery","The roguishly charming and endlessly troublesome Fletch becomes the prime suspect in a murder case while searching for a stolen art collection. The only way to prove his innocence? Find out which of the long list of suspects is the culprit - from the eccentric art dealer and a missing playboy to a crazy neighbor and Fletch's Italian girlfriend. Crime, in fact, has never been this disorganized."
Confession (2014),"crime, drama","Hyun-tae, In-chul and Min-soo have been best friends since childhood. Their relationship is forever changed after Hyun-tae's mother asks In-chul to commit insurance fraud by destroying her arcade."
Confession (2022),"crime, thriller","A wounded, bloodied man takes a priest hostage, hell-bent on confessing a vengeful truth before it is too late. The seemingly random encounter is soon revealed to be anything but as the two men's lives are inextricably linked."
Confessions (2010),"drama, thriller","Devastated at the death of her four-year-old daughter, a grieving middle school teacher is horrified to discover that her students aren't as innocent as she thinks."
Confessions of a Teenage Drama Queen (2004),comedy,"When the always dramatic Lola and her family move from the center of everything in New York City to the center of a cultural wasteland in suburban New Jersey, she feels her life is simply not worth living! But no matter who or what gets in the way, Lola won't give up on her life's ambition: to be a star! In a crowd-pleasing movie treat bursting with music, dance and excitement, Lola's fun-filled adventure won't be glamorous or easy, but it might just show her that real life could exceed even her wildest dreams!"
Confidential Assignment (2017),action,"When a crime organization from North Korea crosses borders and enters South Korean soil, a South Korean detective must cooperate with a North Korean detective to investigate their whereabouts."
Confidential Assignment 2: International (2022),"action, comedy","Follows Rim Chul Ryung heading back to South Korea in pursuit of a brutal and secret criminal organization. He teams up again with Kang Jin Tae, who volunteers to work with the North Korean in order to get back on the investigation team after a mistake landed him in the cyber crime department."
Confidential Informant (2023),"action, thriller","During a crack epidemic two narcotics agents hunting for a cop killer. Hoping for leads, Moran and Thorton pay off a junkie informant. To provide for his wife and son, Moran involves the stool pigeon in a deadly scheme. This causes the partners to come under the scrutiny of a suspicious internal affairs agent."
Congrats My Ex! (2023),"comedy, romance","Risa agrees to organise an Indian wedding, only to find out that the groom-to-be is her ex-partner, Arun. To make things worse, she is forced to hire her other ex, Tim, as the photographer."
Connect (2022),mystery,The announcement of a nation-wide lock-down due to the spread of COVID-19 pandemic disrupts the peace of a family. What follows is a series of bizarre events as one of them tries to invite the spirit of a family member.
Connection (2024),drama,"Online friends Cameron and Jeremy are two teenagers attempting to cement a deadly legacy via the content they share on the internet. As time goes on, and the bodies pile up, tensions grow between the pair - and it becomes increasingly evident that they do not share the same motives for their gruesome crimes."
Conquer: Lahad Datu (2024),"action, crime, drama, thriller","When hundreds of militants invade eastern Sabah, the Royal Malaysia Police sends in an elite force to respond to the incursion."
Consecration (2023),"horror, thriller","After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself."
Constantine (2005),"drama, fantasy, horror","John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles."
Constantine: The House of Mystery (2022),"action, adventure, animation","John Constantine wakes up in the eerie House of Mystery with no recollection of how he got there. Fortunately, Zatanna and his friends are all there. Unfortunately, they have a bad habit of turning into demons and ripping him to shreds, over and over again!"
Constellation (2024),"drama, fantasy, mystery, science fiction","This work is a sequel to 2022's Microcosmos, created using paper collages created by Makino in 2024 and 8K scanned film noise. It is a meditative and creative film, like finding a star chart among stardust, but it is also a political work that deeply reflects the world situation."
Contagion (2011),"drama, science fiction, thriller","As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself."
Containment (2016),drama,Neighbors in a block wake one morning to find they have been sealed inside their apartments. Can they work together to find out why? Or will they destroy each other in their fight to escape?
Contorted (2022),horror,"A family moves to a quiet and isolated place, but suffers from nightmares on their very first day in the new home."
Control Z (2020),drama,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom."
Cook Up a Storm (2017),"comedy, drama","An international culinary competition becomes a battleground between rival cooks, one famous for his Cantonese street food and the other a Michelin-starred chef trained in France. But their rivalry takes an unexpected turn when they discover a common foe and combine their skills in a fusion of East and West."
Cop Out (2010),"action, comedy, crime","Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other."
Copenhagen Cowboy (2023),"crime, drama",Show creator Nicolas Winding Refn and his team detail how they brought the stoic heroine and dark fairy tale version of Copenhagen's netherworld to life.
Copshop (2021),"action, crime, thriller","On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station. However, when the hit man turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs."
Copycat Killer (2023),"crime, drama, mystery","When a spate of grisly murders throws a city into chaos, a tenacious prosecutor must brace for a cat-and-mouse game against a dangerous manipulator."
Coraline (2009),"action, drama, family, fantasy, thriller","Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice."
Corner Office (2023),"comedy, drama","In this office satire, Orson, a straight-laced employee, retreats to a blissfully empty corner office to get away from his lackluster colleagues. But why does this seem to upset them so much?"
Corpse Bride (2005),"animation, fantasy, romance","In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living."
Cosmic Sin (2021),"action, science fiction","In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late."
Count (2023),drama,Security expert Lu Zi Ming is hired to work at an oil and gas plant project bidding event. He is framed by several of the parties involved. In order to prove his innocence he must now devise the ultimate counter-attack.
Countdown (2019),"horror, thriller","A young nurse downloads an app that tells her she only has three days to live. With time ticking away and a mysterious figure haunting her, she must find a way to save her life before time runs out."
Counterattack (2025),"adventure, thriller","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group."
Country Comfort (2021),drama,"When an up-and-coming young country singer accepts a job as a nanny with a musical family, she finds the bond she's always missed."
Country Life of Gen-Z (2024),drama,"A real-life ""hipster"" variety show where Gen-Z celebrities from the city become country Z by living in the countryside."
Country Queen (2022),drama,"A film exploring the Queen's love of country life - whether in Scotland, Norfolk, or Windsor - through the eyes of those who came into contact with her and shared her passion."
Couples Retreat (2009),"comedy, romance","Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face."
Court of Gold (2025),sport,Go behind the scenes with the top medal contenders in men's basketball as they battle for gold and glory at the 2024 Olympic Games in Paris.
Cowboy Bebop (2021),"action, adventure, crime, fantasy, science fiction","Long on style and perpetually short on cash, bounty hunters Spike, Jet and Faye trawl the solar system looking for jobs. But can they outrun Spike's past?"
Cracked (2022),"horror, thriller","An introspective look at a young black man, Sammy, and how being pushed away from his passion leads to his breakdown. Cracked explores passion, addiction, toxic masculinity and their effects on Sammy and his loved ones."
Cracow Monsters (2022),"fantasy, science fiction",A young woman haunted by her past joins a mysterious professor and his group of gifted students who investigate paranormal activity — and fight demons.
Cradle 2 the Grave (2003),"action, crime, drama","Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him."
Crank (2006),"action, crime, thriller","Chev Chelios, a hit man wanting to go straight, lets his latest target slip away. Then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote."
Crank: High Voltage (2009),"action, crime, thriller",Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker that requires regular jolts of electricity to keep working.
Crash (2024),comedy,"After a professor is crippled in a car accident, he blames his wife for the ordeal and attempts to have her killed using the same means. Now hospitalized with amnesia, she appears to be protected by a tiny voodoo trinket that she still clutches in her hand, which possesses her car and other objects, causing mayhem throughout the city."
Crash Course In Romance (2023),"comedy, drama","The series follows the bittersweet relationship between a banchan shop owner whose daughter enters the war of Korea's college entrance exams, and a top hagwon instructor."
Crashing Eid (2023),comedy,"When Razan's British Pakistani fiance crashes her Saudi family's Eid celebrations, she attempts to convince them that he is a suitable match."
Crater (2023),"action, adventure, family","After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet."
Crawl (2019),"action, horror, thriller","When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems."
Crawlspace (2022),thriller,"After witnessing a brutal murder in a cabin, a man hides in a crawlspace while the killers scour the property for a hidden fortune. As they draw nearer, he must decide if the crawlspace will be his tomb or the battleground in his fight for survival."
Crayon Shin-chan: Invasion!! Alien Shiriri (2017),"animation, comedy, family","When the mysterious Shiriri turns his parents into children, Shin-chan must trek across Japan to help return them to adult form."
Crazy Love (2022),"comedy, drama","Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies."
Crazy Rich Asians (2018),"comedy, drama, romance","An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous."
Crazy Romance (2019),"comedy, romance","Jae-hoon recently breaks up with his girlfriend and he still cannot give her up. Whenever he gets drunk, it has become a daily routine to call her and act out of drunkenness. On the other hand, Sun-young also decides to break up with his boyfriend. But she holds a grudge against him. For them, it seems that the beginning and the end of a love affair are both difficult. Can they overcome from the previous romance and start the new one?"
"Crazy, Stupid, Love. (2011)","comedy, drama, romance","Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies."
Creation of the Gods I: Kingdom of Storms (2023),"action, fantasy","Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago."
Creature (2023),"drama, fantasy, science fiction","On a remote Arctic research station, a captive creature (played by the English National Ballet's charismatic principal dancer Jeffrey Cirio) is unwittingly enlisted into a military program that subjects him to sinister experiments. Amid this turmoil, he finds himself enamoured with a cleaner, the only person who shows him kindness; together, these two outsiders dream of escape from their dystopian surrounds."
Creature Commandos (2024),"action, adventure, animation, fantasy, science fiction","Follow the exploits of the Creature Commandos, a secret team of incarcerated monsters recruited for missions deemed too dangerous for humans. When all else fails... they're your last, worst option."
Crescent City (2024),"crime, horror, mystery, thriller","When a ruthless serial killer terrorizes a small Southern town, everyone becomes a suspect -- including local authorities. As the body count rises and the dark mystery deepens, the chief detective becomes haunted by the horrors of his past."
Crew (2024),drama,Three ordinary air hostesses from Mumbai embark on a journey to pursue their dreams but find themselves caught up in unexpected misfortunes.
Crime Scene Berlin: Nightlife Killer (2024),crime,"In 2012, a string of grisly murders sent shock waves through the Berlin party scene. The killer remained at large — until one of his targets survived."
Crime Scene: The Texas Killing Fields (2022),crime,An overgrown field and a stretch of highway connect a series of grisly murders spanning several decades as grieving families search for answers.
Crime Scene: The Times Square Killer (2021),"crime, mystery","In 1970s NYC, the ""Torso Killer"" preys on women to fulfill his grotesque fantasies while eluding police. A docuseries dive into crime's darkest places."
Crime Scene: The Vanishing at the Cecil Hotel (2021),mystery,The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. A dive into crime's darkest places.
Crimes of the Future (2022),"drama, horror, science fiction","With his partner, a celebrity performance artist publicly showcases the metamorphosis of his organs in avant-garde performances. An investigator from the National Organ Registry obsessively tracks their movements, which is when a mysterious group is revealed... Their mission — to use the artist's notoriety to shed light on the next phase of human evolution."
Criminal Code (2023),"action, adventure, crime, drama","To crack the code of an investigation into a larger-than-life robbery, federal agents need to get creative."
Criminal Record (2024),"crime, drama","In the heart of London, an anonymous phone call draws two brilliant detectives—a young woman in the early stages of her career and a well-connected man determined to protect his legacy—into a fight to correct an old miscarriage of justice."
Criminal: UK (2019),"crime, drama","Within the walls of an interrogation room, London investigators question suspects accused of grievous crimes until the truth comes to light."
Crimson Peak (2015),"horror, mystery, romance, thriller","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers."
Crisis (2021),"crime, drama, thriller","Three stories about the world of opioids collide: a drug trafficker arranges a multi-cartel Fentanyl smuggling operation between Canada and the U.S., an architect recovering from an OxyContin addiction tracks down the truth behind her son's involvement with narcotics, and a university professor battles unexpected revelations about his research employer, a drug company with deep government influence bringing a new ""non-addictive"" painkiller to market."
Crooks (2024),"action, adventure, crime, drama","Rokko becomes an interpreter, so that he can one day meet his ex-boyfriend again, if he ever visits Japan. That day is approaching..."
Cross (2024),"drama, mystery","In the ultimate test of marriage, an agent-turned-househusband gets tangled in a perilous mission with his detective wife, who's clueless about his past."
Crossroads: One Two Jaga (2018),"action, crime, drama","In the outskirts and back-alleys of Kuala Lumpur, several individuals with money problems struggle to get their lives straight, find their paths unexpectedly intersecting - with fatal results."
Crows Explode (2014),"action, drama","A month after Genji Takiya graduates, a new battle for supremacy at Suzuran All-Boys High School begins. Transfer student Kaburagi Kazeo combats Kagami Ryohei for the coveted top spot, amidst a brewing inter-school conflict with Kurosaki Industrial High."
Crows Zero (2007),action,"The students of Suzuran High compete for the King of School title. An ex-graduate yakuza is sent to kill the son of a criminal group, but he can't make himself do it as he reminds him of his youth."
Crows Zero II (2009),"action, comedy, thriller","Genji and his victorious G.P.S. alliance find themselves facing down a new challenge by the students of Hosen Academy, feared by everyone as 'The Army of Killers.' The two schools, in fact, have a history of bad blood between them. And the simmering embers of hatred are about to flare up again, burning away any last remnants of the truce they had so rigorously observed until now."
Cruel Intentions (2024),drama,"At an elite Washington, D.C.-adjacent university, two ruthless step-siblings will do anything to stay on top of the cutthroat social hierarchy. After a brutal hazing incident threatens the entire Greek Life system at their school, they'll do whatever is necessary to preserve their power and reputation – even if that means seducing, the daughter of the Vice President of the United States."
Cruel Jaws (1995),"adventure, comedy, horror, thriller",A tiger shark bred by the Navy as a killing machine is wreaking havoc in the sleepy tourist town of Hampton Bay.
Cruel Summer (2021),"drama, mystery","A group of college students plan one final pre-graduation party at a secluded lake house for an ""80s murder mystery"" weekend unaware that a crazed, masked killer has decided to join the celebration. Will anyone survive the slaughter - or is this going to become a truly cruel summer?"
Cruella (2021),"comedy, crime","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella's flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella."
Crush (2022),"comedy, romance","When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like."
Cry Macho (2021),drama,A one-time rodeo star and washed-up horse breeder takes a job from an ex-boss to bring the man's young son home from Mexico.
Cuckoo (2024),"horror, mystery","After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her."
Cuddle Weather (2019),"comedy, drama, romance","After realizing that prostitutes are not entitled to the best part of love making, two sex workers form a screwy relationship as ""cuddle partners"" only to realize that they want something more."
Culpa tuya (2024),"drama, romance",The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.
Culprits (2023),"crime, drama","Family man Joe Petrus is living the American dream with his fiancé and step-kids. However, unbeknownst to them, Joe was involved in a mysterious crime three years ago and now his dangerous past is about to catch up with him. When a killer starts targeting the crew behind the crime, Joe realizes it's only a matter of time before his family is targeted. He returns to London to track down his old gang and find out who is coming after them."
Cult Killer (2024),"crime, horror, mystery, thriller","A private investigator is forced into a dangerous alliance with a killer in order to uncover a quiet town's grisly criminal underbelly and clear the name of her mentor, who is implicated in the crimes."
Cunk on Life (2024),comedy,"Pioneering documentary maker Philomena Cunk returns with her most ambitious quest to date: venturing right up the universe and everything to examine life and existence in an attempt to find out the point of it all. Along the way, she interrogates experts on subjects from the big bang to biology and art to artificial intelligence. Really get to the nub of it."
Cunk onâ¦ (2018),comedy,Landmark mockumentary-maker Philomena Cunk traces the history of Britain and Earth.
Curon (2020),"drama, fantasy, mystery, science fiction","When their mother mysteriously vanishes shortly after they all arrive in her hometown, teen twins discover secrets behind the village's tranquil facade."
Curry & Cyanide: The Jolly Joseph Case (2023),crime,This true-crime documentary investigates six shocking deaths in the same family and the woman at the center of the unbelievable case: Jolly Joseph.
Curse Code (2023),"drama, mystery","Ake, struggling with finances, lives with grandkids and Am. Krittiya shares a family curse tale, seeks Ake help due to his ancestral ties to rituals against it. Initially reluctant, Ake accepts for compensation. He starts the rituals and gets a golden box but witnesses misfortunes. Spirits appear, grandkids suffer, and Ake races to break the curse to save them."
Cursed (2020),"adventure, science fiction",The great King Gurumes is searching for the Dragon Balls in order to put a stop to his endless hunger. A young girl named Pansy who lives in the nearby village has had enough of the treachery and decides to seek Muten Rōshi for assistance. Can our heroes save the village and put a stop to the Gurumes Army?
Cursed in Love (2020),"drama, mystery","Nao spent her formative years living at Kogetsuan, a well-established Japanese confectionery shop, where her single mother worked as a pastry chef. She is the same age as Tsubaki, heir to the store, and they become each other's first love. One morning, Tsubaki's father and head of Kogetsuan is stabbed and found covered in blood. Nao's mother is arrested based on the six-year-old Tsubaki's testimony and the little girl is kicked out of the shop. Nao's mother died while the investigation was going on, preventing the truth to emerge. Fifteen years later, the case is still shrouded in mystery. Is she really the culprit?"
Curses! (2023),"action, adventure, animation, fantasy, science fiction","It follows young alchemist Amélie as she acquires a magical power: partially influencing the flow of time. But she is split in time, and Amélie from the present meets Améliw from the past, who accompanies her every step of the way."
Curtain Call (2022),"drama, family",A gifted young organist struggles to endure the violent world around him.
Curve (2015),"horror, thriller",Soon-to-be bride on her way to a wedding rehearsal is having second thoughts and decides to take a detour. Car breaks down and a hitchiker offers help. Could it be fate?
Cyberbully (2015),"drama, thriller","A chilling real-time thriller featuring a teenager, Casey, battling with an anonymous cyber-stalker."
Cyberbunker: The Criminal Underworld (2023),crime,This documentary reveals how a group of hackers powered the darkest corners of the internet from a Cold War-era bunker in a quiet German tourist town.
Cyberpunk: Edgerunners (2022),"adventure, anime, science fiction","In a dystopia riddled with corruption and cybernetic implants, a talented but reckless street kid strives to become a mercenary outlaw — an edgerunner."
Cyrano (2022),"drama, romance","A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian."
D.B. Cooper: Where Are You?! (2022),crime,"In 1971, a skyjacker parachutes off a plane with a bag of stolen cash — and gets away with it. Decades later, his identity remains a compelling mystery."
D@bbe 5: Curse of the Jinn (2014),horror,"Housewife Dilek suddenly starts to feel the presence of something abnormal in her house. Her husband Omer refuses to agree, and the situation worsens. The couple discover that an ancient paranormal creature called Jinn has cursed on Dilek. They seek a cure but instead they learn of Dilek's demons."
D@bbe 6: The Return (2015),horror,"A cardiologist tries to pinpoint the cause of her mother's sudden death, while her sister, a witness, claims malevolent demons are at play."
D@bbe: The Possession (2013),horror,"Preparing for her wedding, Kübra gets possessed by unknown livings. To cure Kübra, a psychiatrist, Ebru, gets on way. Ebru is also an old friend of Kübra. Ebru would work together with an exorcist to save Kübra. Just when things seemed to be going well, everything start going horribly wrong."
DAN DA DAN (2024),"adventure, animation, anime, comedy, fantasy, science fiction","High schoolers Momo and Okarun, who debate about ghosts and aliens, investigate paranormal sites, encountering supernatural forces while awaking hidden powers to face the unknown. Theatrical event featuring the first three episodes of DAN DA DAN, and an exclusive interview with Yukinobu Tatsu and Shihei Lin, the author and editor of the original manga, Fuga Yamashiro (Director), and Shion Wakayama (voice of Momo) and Natsuki Hanae (voice of Okarun)."
DARLING in the FRANXX (2018),"animation, anime","The story is set in the distant future. The land is ruined, and humanity establishes the mobile fort city Plantation. Pilots produced inside Plantation live in Mistilteinn, also know as the ""birdcage."" Children live there knowing nothing of the outside world or the freedom of the sky. Their lives consist of battling to carry out missions. Their enemies are mysterious giant lifeforms known as Kyouryuu, and the children pilot robots called Franxx to face off against them. For the children, riding the Franxx proves their existence.

A boy named Hiro is called Code:016, and he was once known as a prodigy. However, he has fallen behind, and his existence seems unnecessary. Not piloting a Franxx is the same as ceasing to exist. One day, a mysterious girl known as ""Zero Two"" appears before him. Two horns grow out of her head."
DC League of Super-Pets (2022),"action, animation, comedy, family, science fiction","When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes."
DC's Legends of Tomorrow (2016),drama,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?"
DC's Stargirl (2020),"adventure, drama, fantasy, science fiction","Courtney Whitmore, a smart, athletic and above all else kind girl, discovers her step-father has a secret: he used to be the sidekick to a superhero. ""Borrowing"" the long-lost hero's cosmic staff, she becomes the unlikely inspiration for an entirely new generation of superheroes."
DEMON LORD 2099 (2024),"adventure, animation, anime, fantasy, science fiction","Five centuries ago, Demon Lord Veltol reigned over an immortal nation. Now, the time has come for him to awaken once again. The year is 2099, and civilization has reached peak evolution, leading to a high-tech landscape with towering skyscrapers—nothing like he's conquered before. Veltol may be a relic of the past, but make no mistake, this new world will be his for the taking!"
DMZ (2022),"drama, fantasy, science fiction","In the near future after a bitter civil war leaves Manhattan a demilitarized zone (DMZ), destroyed and isolated from the rest of the world, fierce medic Alma Ortega sets out on a harrowing journey to find the son she lost in the evacuation of New York City at the onset of the conflict. Standing in her way are gangs, militias, demagogues and warlords, including Parco Delgado, the popular — and deadly — leader of one of the most powerful gangs in the DMZ."
DNA Lover (2024),comedy,"So Jin, a genetic researcher who loves DNA, decides to end her relationship with a playboy boyfriend and sets out to find a genetically compatible partner for a happy relationship. Whom among the two men that So Jin meets, obstetrician-gynecologist Yeon Woo and firefighter Kang Hoon, will be the perfect match for her? A captivating story intertwined with genetics! This story portrays the struggles, love, and everyday lives of young friends."
DOA: Dead or Alive (2006),"action, adventure, thriller",Four beautiful rivals at an invitation-only martial-arts tournament join forces against a sinister threat. Princess Kasumi is an aristocratic warrior trained by martial-arts masters. Tina Armstrong is a wrestling superstar. Helena Douglas is an athlete with a tragic past. Christie Allen earns her keep as a thief and an assassin-for-hire.
DOM (2021),"crime, drama",A Movie by Tapas Kr. Chakraborty
DOTA: Dragon's Blood (2021),"adventure, fantasy, science fiction","After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined."
DTC -Yukemuri Junjou Hen- from HiGH & LOW (2018),comedy,"The movie is about the endless miracles during the motorcycle trip of Dan, Tettsu, and Chiharu, the Sannō Rengōkai trio (also known as DTC)."
Da 5 Bloods (2020),drama,Four African-American Vietnam veterans return to Vietnam. They are in search of the remains of their fallen squad leader and the promise of buried treasure. These heroes battle forces of humanity and nature while confronted by the lasting ravages of the immorality of the Vietnam War.
Dabba Cartel (2025),"crime, drama","When an investigation into a pharma company hits close to home, five women launch a tiffin service with a secret ingredient."
Daddio (2024),drama,A woman taking a cab ride from JFK airport engages in a conversation with the driver about the important relationships in their lives.
"Daddy You, Daughter Me (2017)",comedy,"Sangtae and his teenage daughter Doyeon are constantly arguing and haven't had a genuine conversation in years. When their souls are switched by a magical force for seven days, they must learn to tackle the awkward and unfamiliar situation in each other's shoes."
Daddy's Head (2024),horror,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.
Daddy's Home (2015),comedy,"The story of a mild-mannered radio executive who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids."
Daddy's Home 2 (2017),comedy,Brad and Dusty must deal with their intrusive fathers during the holidays.
Dahaad (2023),"crime, drama, mystery",Women are disappearing without a trace in Rajasthan and nobody seems surprised. But police officer Anjali Bhaati notices a similarity in the cases: long nightly phone calls and a boyfriend that no one in the neighbourhood has ever seen.
